,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm,Quality
avengers-angry.wav,1,1,0,0,0,0,0,0,0
avengers-calm.wav,0,0,0,0,0,0,1,1,2
avengers-comic.wav,0,0,1,0,0,0,0,0,1
avengers-happy.wav,0,0,1,0,0,0,0,0,2
avengers-mysterious.wav,0,0,0,0,0,1,0,1,1
avengers-romantic.wav,0,0,0,0,1,0,1,0,3
avengers-sad.wav,0,0,0,0,1,0,1,1,3
avengers-scary.wav,1,1,0,0,0,0,0,0,1
chopin-angry.wav,1,0,0,0,0,0,0,0,2
chopin-calm.wav,0,0,0,0,0,0,0,1,2
chopin-comic.wav,0,0,1,1,0,0,0,0,2
chopin-happy.wav,0,0,1,0,0,0,0,0,2
chopin-mysterious.wav,0,0,0,0,1,1,1,0,1
chopin-romantic.wav,0,0,0,0,0,0,1,1,2
chopin-sad.wav,0,0,0,0,1,1,0,0,2
chopin-scary.wav,0,1,0,0,0,1,0,0,1
faded-angry.wav,1,0,0,0,0,0,0,0,1
faded-calm.wav,0,0,0,0,0,0,0,1,1
faded-comic.wav,0,0,1,0,0,0,0,0,1
faded-happy.wav,0,0,1,0,0,0,0,1,3
faded-mysterious.wav,0,0,0,0,0,1,0,0,2
faded-romantic.wav,0,0,0,0,0,0,1,1,3
faded-sad.wav,0,0,0,0,1,0,0,0,1
faded-scary.wav,1,1,0,0,0,0,0,0,1
jazz-angry.wav,1,0,0,0,0,0,0,0,0
jazz-calm.wav,0,0,0,0,0,0,1,1,3
jazz-comic.wav,0,0,1,1,0,0,0,0,2
jazz-happy.wav,0,0,1,0,0,0,0,0,0
jazz-mysterious.wav,0,1,0,0,0,1,0,0,2
jazz-romantic.wav,0,0,0,0,1,1,0,0,1
jazz-sad.wav,0,0,0,0,1,0,0,1,2
jazz-scary.wav,1,0,0,0,0,0,0,0,1
mario-angry.wav,1,0,0,0,0,0,0,0,1
mario-calm.wav,0,0,0,0,0,0,0,1,3
mario-comic.wav,0,0,1,1,0,0,0,0,1
mario-happy.wav,0,0,1,1,0,0,0,0,2
mario-mysterious.wav,0,0,0,0,0,1,0,0,3
mario-romantic.wav,0,0,0,0,0,0,0,1,3
mario-sad.wav,0,0,0,0,1,0,0,0,1
mario-scary.wav,0,1,0,0,0,0,0,0,1
mozart-angry.wav,1,0,0,0,0,0,0,0,2
mozart-calm.wav,0,0,0,0,0,0,1,1,4
mozart-comic.wav,0,0,1,1,0,0,0,0,3
mozart-happy.wav,0,0,1,1,0,0,0,0,3
mozart-mysterious.wav,0,0,0,0,0,1,0,1,3
mozart-romantic.wav,0,0,0,1,0,0,0,1,3
mozart-sad.wav,0,0,0,0,1,0,1,0,3
mozart-scary.wav,0,1,0,0,0,1,0,0,1
