,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm,Quality
avengers-angry.wav,1,1,0,0,0,1,0,0,1
avengers-calm.wav,0,0,0,0,0,0,0,1,2
avengers-comic.wav,0,0,1,0,0,0,0,0,1
avengers-happy.wav,0,0,1,1,0,0,0,0,2
avengers-mysterious.wav,0,0,0,0,0,1,0,0,1
avengers-romantic.wav,0,0,0,0,1,0,0,0,1
avengers-sad.wav,0,0,0,0,1,1,0,0,1
avengers-scary.wav,0,1,0,0,0,0,0,0,0
chopin-angry.wav,1,0,0,0,0,0,0,0,0
chopin-calm.wav,0,0,0,1,0,0,0,1,1
chopin-comic.wav,0,0,1,0,0,0,0,0,1
chopin-happy.wav,0,0,0,1,0,0,0,0,3
chopin-mysterious.wav,0,1,0,0,0,0,0,0,1
chopin-romantic.wav,0,0,0,1,0,0,0,0,2
chopin-sad.wav,0,0,0,0,0,1,0,0,3
chopin-scary.wav,0,1,0,0,0,1,0,0,0
faded-angry.wav,1,1,0,0,0,0,0,0,1
faded-calm.wav,0,0,1,0,0,0,0,0,2
faded-comic.wav,0,0,1,0,0,0,0,0,1
faded-happy.wav,0,0,1,1,0,0,0,0,3
faded-mysterious.wav,0,0,0,0,0,1,0,0,1
faded-romantic.wav,0,0,0,1,0,0,0,1,2
faded-sad.wav,0,0,0,0,1,0,0,0,1
faded-scary.wav,1,1,0,0,0,0,0,0,1
jazz-angry.wav,1,0,0,0,0,0,0,0,1
jazz-calm.wav,0,0,0,0,0,0,0,1,2
jazz-comic.wav,0,1,0,0,0,0,0,0,1
jazz-happy.wav,0,0,1,0,0,0,0,0,0
jazz-mysterious.wav,0,1,0,0,1,0,0,0,1
jazz-romantic.wav,0,0,1,0,0,0,0,0,3
jazz-sad.wav,0,1,0,0,1,0,0,0,3
jazz-scary.wav,0,0,0,0,0,1,0,0,1
mario-angry.wav,0,1,0,0,0,1,0,0,1
mario-calm.wav,0,0,1,0,0,0,1,0,2
mario-comic.wav,0,0,1,1,0,0,0,0,3
mario-happy.wav,0,0,1,1,0,0,0,0,2
mario-mysterious.wav,0,1,0,0,0,1,0,0,1
mario-romantic.wav,0,0,0,0,0,0,1,0,2
mario-sad.wav,0,1,0,0,0,1,0,0,2
mario-scary.wav,0,1,0,0,0,1,0,0,0
mozart-angry.wav,1,1,0,0,0,0,0,0,1
mozart-calm.wav,0,0,0,1,0,0,0,1,3
mozart-comic.wav,0,0,1,0,0,0,0,0,1
mozart-happy.wav,0,0,1,1,0,0,0,0,3
mozart-mysterious.wav,0,1,0,0,0,1,0,0,2
mozart-romantic.wav,0,0,0,1,0,0,0,0,3
mozart-sad.wav,0,0,0,0,0,0,1,0,3
mozart-scary.wav,0,1,0,0,0,0,0,0,0
