,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm,Quality
avengers-angry.wav,0,0,0,1,0,1,0,0,3
avengers-calm.wav,0,0,0,0,0,0,0,1,3
avengers-comic.wav,0,0,0,1,0,0,0,0,2
avengers-happy.wav,0,0,1,1,0,0,0,0,3
avengers-mysterious.wav,0,0,0,0,0,0,0,1,3
avengers-romantic.wav,0,0,0,0,1,0,0,1,3
avengers-sad.wav,0,0,0,0,0,0,0,1,3
avengers-scary.wav,0,0,0,0,0,1,0,0,3
chopin-angry.wav,0,0,0,0,0,1,0,0,3
chopin-calm.wav,0,0,0,0,1,0,0,0,3
chopin-comic.wav,0,0,0,1,0,0,0,0,3
chopin-happy.wav,0,0,0,1,0,0,0,0,3
chopin-mysterious.wav,0,0,0,1,0,0,0,0,3
chopin-romantic.wav,0,0,0,1,0,0,0,1,3
chopin-sad.wav,0,0,0,0,1,0,0,0,3
chopin-scary.wav,0,1,0,0,0,1,0,0,3
faded-angry.wav,0,0,0,0,0,1,0,0,3
faded-calm.wav,0,0,0,1,0,0,0,0,3
faded-comic.wav,0,0,1,0,0,0,0,0,3
faded-happy.wav,0,0,0,1,0,0,0,0,3
faded-mysterious.wav,0,0,0,0,0,0,0,1,3
faded-romantic.wav,0,0,0,1,0,0,0,1,3
faded-sad.wav,0,0,0,0,1,0,0,0,3
faded-scary.wav,0,0,0,0,0,1,0,0,3
jazz-angry.wav,0,0,0,0,0,1,0,0,3
jazz-calm.wav,0,0,0,0,0,0,0,1,3
jazz-comic.wav,0,0,1,0,0,0,0,0,3
jazz-happy.wav,0,0,0,1,0,0,0,0,3
jazz-mysterious.wav,0,0,0,0,0,0,0,1,3
jazz-romantic.wav,0,0,0,0,1,0,0,0,3
jazz-sad.wav,0,0,0,0,0,0,0,1,3
jazz-scary.wav,0,0,0,0,0,1,0,0,3
mario-angry.wav,0,0,0,1,0,1,0,0,3
mario-calm.wav,0,0,0,1,0,0,0,1,3
mario-comic.wav,0,0,1,1,0,0,0,0,3
mario-happy.wav,0,0,1,1,0,0,0,0,3
mario-mysterious.wav,0,1,0,0,0,0,0,0,3
mario-romantic.wav,0,0,0,1,0,0,0,0,3
mario-sad.wav,0,0,0,0,0,1,0,0,3
mario-scary.wav,0,1,0,0,0,1,0,0,3
mozart-angry.wav,1,0,0,0,0,0,0,0,3
mozart-calm.wav,0,0,0,1,0,0,0,0,3
mozart-comic.wav,0,0,0,1,0,0,0,0,3
mozart-happy.wav,0,0,0,1,0,0,0,0,3
mozart-mysterious.wav,0,0,0,1,0,0,0,1,3
mozart-romantic.wav,0,0,0,1,0,0,0,0,3
mozart-sad.wav,0,0,0,0,1,0,1,0,3
mozart-scary.wav,0,1,0,0,0,0,0,0,3
