,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm,Quality
avengers-angry.wav,0,0,1,0,0,1,0,0,2
avengers-calm.wav,0,0,0,0,0,0,0,1,2
avengers-comic.wav,0,0,0,1,0,0,0,0,2
avengers-happy.wav,0,0,1,1,0,0,0,0,3
avengers-mysterious.wav,0,0,1,0,0,1,0,0,2
avengers-romantic.wav,0,0,0,0,0,0,1,1,4
avengers-sad.wav,0,0,0,0,1,0,0,1,3
avengers-scary.wav,0,1,0,0,0,1,0,0,0
chopin-angry.wav,1,0,0,0,0,1,0,0,1
chopin-calm.wav,0,0,0,0,0,0,1,1,3
chopin-comic.wav,0,0,0,1,0,0,0,0,2
chopin-happy.wav,0,0,1,0,0,1,0,0,2
chopin-mysterious.wav,0,0,0,0,1,0,0,0,2
chopin-romantic.wav,0,0,0,0,0,0,1,1,4
chopin-sad.wav,0,0,0,0,0,0,0,1,4
chopin-scary.wav,0,1,0,0,0,1,0,0,2
faded-angry.wav,1,1,0,0,0,0,0,0,1
faded-calm.wav,0,0,0,0,0,0,1,0,3
faded-comic.wav,0,0,1,1,0,0,0,0,2
faded-happy.wav,0,0,0,1,0,0,0,0,3
faded-mysterious.wav,0,0,0,0,0,1,0,0,2
faded-romantic.wav,0,0,0,0,0,0,0,1,3
faded-sad.wav,0,0,0,0,1,0,0,1,3
faded-scary.wav,1,1,0,0,0,1,0,0,0
jazz-angry.wav,1,1,0,0,0,0,0,0,0
jazz-calm.wav,0,0,0,0,0,1,0,1,2
jazz-comic.wav,0,0,1,1,0,0,0,0,3
jazz-happy.wav,0,0,0,0,0,1,0,0,2
jazz-mysterious.wav,0,0,0,0,0,1,0,0,2
jazz-romantic.wav,0,0,0,0,1,0,0,1,3
jazz-sad.wav,0,0,0,0,1,0,0,1,3
jazz-scary.wav,0,1,1,0,0,0,0,0,1
mario-angry.wav,1,0,1,0,0,0,0,0,2
mario-calm.wav,0,0,0,0,0,0,0,1,3
mario-comic.wav,0,0,1,1,0,0,0,0,3
mario-happy.wav,0,0,1,0,0,1,0,0,2
mario-mysterious.wav,0,0,0,0,0,1,0,0,4
mario-romantic.wav,0,0,0,0,0,0,0,1,3
mario-sad.wav,0,0,1,0,0,1,0,0,2
mario-scary.wav,0,1,0,0,0,1,0,0,0
mozart-angry.wav,1,0,0,0,0,1,0,0,2
mozart-calm.wav,0,0,0,0,0,0,1,1,4
mozart-comic.wav,0,0,1,1,0,0,0,0,3
mozart-happy.wav,0,0,1,1,0,0,0,0,3
mozart-mysterious.wav,0,0,0,0,0,1,0,0,2
mozart-romantic.wav,0,0,0,0,0,0,1,1,4
mozart-sad.wav,0,0,0,0,1,0,0,0,3
mozart-scary.wav,0,1,0,0,0,1,0,0,0
