,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm
Ins 64,1,1,1,0,1,2,0,1
Ins 65,0,0,2,1,0,1,2,1
Ins 66,2,2,2,2,0,0,0,0
Ins 67,0,1,2,0,0,1,1,2
Ins 68,1,1,1,1,0,2,0,1
Ins 69,0,0,0,0,1,2,2,2
Ins 70,1,1,1,0,0,1,0,1
Ins 71,1,1,0,0,1,1,1,0
Ins 72,1,0,0,0,0,0,0,1
Ins 73,2,0,1,0,0,1,0,0
Ins 74,1,0,0,0,0,1,1,1
Ins 75,0,1,0,1,0,0,0,0
Ins 76,0,1,0,0,0,0,0,0
Ins 77,1,2,1,0,0,0,1,1
Ins 78,0,2,0,0,2,0,1,0
Ins 79,0,1,0,0,0,1,0,1
Ins 80,2,2,1,0,0,1,0,0
Ins 81,2,2,1,0,2,2,0,0
Ins 82,1,0,0,0,0,0,0,0
Ins 83,1,0,1,0,0,2,0,0
Ins 84,2,0,0,0,0,2,0,1
Ins 85,0,1,1,1,2,2,0,2
Ins 86,0,0,2,1,0,0,0,1
Ins 87,0,0,2,1,0,0,0,1
Ins 88,1,0,0,0,0,2,1,1
Ins 89,1,2,0,0,1,2,1,1
Ins 90,2,0,1,1,0,2,0,0
Ins 91,2,2,0,0,1,2,0,1
Ins 92,2,2,0,0,2,1,0,0
Ins 93,1,2,1,1,0,2,0,0
Ins 94,0,0,0,0,0,0,0,0
Ins 95,0,2,1,0,1,1,0,0
