,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm
Ins 96,1,1,2,1,0,1,0,0
Ins 97,0,1,0,1,0,2,0,1
Ins 98,1,1,1,1,0,2,0,0
Ins 99,1,1,1,1,0,2,0,0
Ins 100,1,1,0,1,0,2,0,0
Ins 101,1,0,0,1,0,1,1,1
Ins 102,1,1,0,1,1,1,1,1
Ins 103,0,1,0,1,0,1,0,0
Ins 104,1,0,2,1,0,0,1,1
Ins 105,1,0,2,1,1,0,1,0
Ins 106,2,0,2,1,1,0,0,0
Ins 107,1,0,2,2,0,0,1,1
Ins 108,0,0,1,1,0,1,0,1
Ins 109,1,0,0,1,1,0,2,0
Ins 110,1,1,1,0,2,0,1,0
Ins 111,1,1,2,1,2,0,1,1
Ins 112,0,0,1,1,0,2,0,0
Ins 113,0,0,1,1,1,0,0,1
Ins 114,1,0,2,1,0,0,0,0
Ins 115,1,1,2,0,1,0,0,1
Ins 116,2,0,1,1,1,0,0,0
Ins 117,1,1,1,1,1,0,0,0
Ins 118,1,0,2,2,1,0,0,0
Ins 119,1,0,2,2,0,0,0,0
Ins 120,1,1,1,1,0,0,0,0
Ins 121,2,1,0,0,2,1,0,1
Ins 122,0,1,0,1,1,0,1,2
Ins 123,0,1,0,2,0,0,1,2
Ins 124,2,2,2,0,2,0,0,0
Ins 125,2,1,2,0,0,0,1,0
Ins 126,0,0,1,2,0,0,0,0
Ins 127,2,2,1,1,0,0,0,0
