,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm
Ins 96,0,1,0,0,0,1,0,0
Ins 97,1,1,0,0,1,1,0,0
Ins 98,0,1,0,0,0,1,1,2
Ins 99,0,1,0,0,0,1,0,1
Ins 100,0,0,0,0,1,2,1,0
Ins 101,0,0,0,0,2,2,0,1
Ins 102,1,1,0,0,0,1,0,1
Ins 103,0,1,0,0,0,1,0,0
Ins 104,1,1,0,0,0,2,0,0
Ins 105,0,0,1,1,0,0,0,0
Ins 106,0,0,1,2,0,0,1,2
Ins 107,0,0,1,0,0,0,0,1
Ins 108,0,1,0,0,0,1,0,2
Ins 109,0,0,1,1,0,0,0,0
Ins 110,1,1,0,0,2,1,0,1
Ins 111,0,0,0,0,0,0,0,1
Ins 112,0,1,1,1,0,1,1,0
Ins 113,0,0,1,1,0,0,0,1
Ins 114,0,1,0,0,0,1,0,1
Ins 115,1,1,0,0,0,0,0,0
Ins 116,0,0,1,1,0,0,0,1
Ins 117,0,0,1,1,0,0,0,0
Ins 118,0,0,1,1,0,0,0,0
Ins 119,1,2,0,0,0,2,0,0
Ins 120,1,2,0,0,0,1,0,0
Ins 121,0,0,0,0,0,0,0,0
Ins 122,0,0,1,0,0,0,2,2
Ins 123,0,0,0,0,0,0,0,0
Ins 124,2,2,0,0,2,0,0,0
Ins 125,0,0,0,0,0,0,0,0
Ins 126,0,0,2,2,0,0,1,0
Ins 127,2,0,0,0,0,1,0,0
