,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm
Ins 96,1,2,0,0,1,2,0,0
Ins 97,0,1,0,1,2,1,0,1
Ins 98,1,0,0,0,1,1,0,1
Ins 99,2,1,0,0,1,1,0,1
Ins 100,1,2,0,0,1,1,0,0
Ins 101,0,1,0,0,0,2,0,1
Ins 102,2,2,0,0,1,2,0,0
Ins 103,1,2,1,0,0,2,0,0
Ins 104,0,1,0,0,1,1,0,0
Ins 105,0,0,0,0,1,1,0,0
Ins 106,0,0,0,0,1,0,0,1
Ins 107,0,0,0,1,0,1,1,1
Ins 108,0,0,0,0,0,1,0,1
Ins 109,1,1,0,1,0,1,0,0
Ins 110,2,1,0,0,1,1,0,0
Ins 111,0,0,0,1,0,0,1,1
Ins 112,1,1,0,0,1,1,0,0
Ins 113,1,1,0,0,0,1,1,1
Ins 114,0,1,0,0,1,0,0,1
Ins 115,0,0,2,0,0,0,0,1
Ins 116,0,0,0,0,0,1,0,0
Ins 117,0,0,1,0,0,0,0,1
Ins 118,0,0,2,1,1,0,0,1
Ins 119,0,0,0,0,0,1,0,0
Ins 120,2,1,1,0,1,1,0,1
Ins 121,2,2,0,0,1,1,0,1
Ins 122,0,0,0,1,1,1,0,2
Ins 123,0,0,0,0,0,0,0,1
Ins 124,0,0,0,0,0,0,0,0
Ins 125,0,2,0,0,0,1,0,0
Ins 126,0,0,1,2,0,0,0,0
Ins 127,0,2,0,0,1,1,1,1
