,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm
Ins 0,0,0,0,0,1,0,0,1
Ins 1,0,0,0,0,1,0,0,1
Ins 2,0,0,0,0,1,0,0,1
Ins 3,0,1,0,0,1,1,0,0
Ins 4,0,1,0,0,0,1,0,1
Ins 5,0,0,0,0,1,1,0,2
Ins 6,1,2,0,0,1,1,0,1
Ins 7,0,0,0,0,1,1,0,0
Ins 8,0,1,0,0,1,1,0,1
Ins 9,0,1,0,0,1,1,0,0
Ins 10,0,0,0,0,0,0,0,1
Ins 11,0,1,0,0,1,1,0,1
Ins 12,1,0,0,0,1,1,0,2
Ins 13,0,0,0,0,0,1,0,0
Ins 14,0,1,0,0,1,0,0,0
Ins 15,0,0,0,0,1,1,0,0
Ins 16,0,1,0,0,1,1,0,0
Ins 17,1,2,0,0,0,1,0,0
Ins 18,1,0,0,0,1,1,0,0
Ins 19,1,1,0,0,2,0,0,1
Ins 20,0,0,0,0,0,0,0,1
Ins 21,0,2,0,0,1,1,0,0
Ins 22,0,0,2,1,0,1,0,0
Ins 23,1,1,0,0,0,1,0,0
Ins 24,0,1,0,0,1,1,0,2
Ins 25,0,0,0,0,1,1,0,1
Ins 26,0,0,0,0,1,0,0,1
Ins 27,1,1,0,0,1,1,0,1
Ins 28,0,0,1,0,0,1,0,1
Ins 29,1,1,0,0,1,1,0,0
Ins 30,1,2,0,0,0,0,0,0
Ins 31,1,0,0,1,0,0,0,0
