,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm
Ins 0,0,0,0,1,2,1,2,2
Ins 1,2,2,1,0,2,1,0,0
Ins 2,0,1,0,1,1,0,2,2
Ins 3,1,0,1,0,2,2,0,0
Ins 4,0,2,0,2,2,1,1,2
Ins 5,0,1,0,1,2,2,2,1
Ins 6,1,0,2,0,2,1,0,2
Ins 7,2,1,0,2,0,2,1,0
Ins 8,1,2,0,0,2,2,1,1
Ins 9,0,0,0,0,0,2,0,1
Ins 10,0,0,1,1,2,2,2,2
Ins 11,1,2,0,1,2,2,1,2
Ins 12,0,1,1,0,1,2,2,2
Ins 13,0,2,1,2,2,2,1,0
Ins 14,0,0,0,2,1,2,1,2
Ins 15,1,1,2,2,2,0,0,0
Ins 16,0,0,1,2,1,2,2,1
Ins 17,0,0,0,1,1,2,1,1
Ins 18,0,2,0,0,0,2,1,0
Ins 19,2,0,2,0,1,2,1,2
Ins 20,1,1,0,1,0,0,0,0
Ins 21,2,2,2,1,2,2,1,0
Ins 22,1,0,2,1,0,2,0,0
Ins 23,2,1,0,2,0,1,0,0
Ins 24,0,0,1,1,2,0,2,1
Ins 25,1,0,1,1,2,1,1,2
Ins 26,1,2,0,0,1,1,2,2
Ins 27,0,1,2,0,0,2,0,0
Ins 28,0,0,2,1,1,2,1,2
Ins 29,1,0,2,2,0,2,1,1
Ins 30,1,1,2,2,0,0,0,0
Ins 31,2,2,0,1,0,1,0,0
