,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm
Ins 64,0,0,1,1,1,1,2,2
Ins 65,1,0,1,1,1,0,1,0
Ins 66,1,0,2,1,0,0,1,0
Ins 67,2,1,1,2,0,0,2,0
Ins 68,1,1,0,0,2,2,1,0
Ins 69,2,1,0,0,2,2,0,1
Ins 70,2,2,0,0,2,2,1,1
Ins 71,1,0,1,1,2,0,1,1
Ins 72,1,1,0,1,2,1,1,2
Ins 73,1,1,0,2,2,1,2,2
Ins 74,0,0,0,1,2,0,1,1
Ins 75,2,2,0,0,2,2,1,1
Ins 76,1,2,0,0,2,2,1,2
Ins 77,1,2,0,0,2,2,1,2
Ins 78,1,2,0,0,2,2,0,1
Ins 79,0,1,1,1,2,2,1,2
Ins 80,0,1,1,1,1,1,0,0
Ins 81,2,0,1,2,0,0,0,0
Ins 82,0,2,0,0,2,2,0,1
Ins 83,1,0,1,1,0,1,0,0
Ins 84,2,2,1,0,1,0,0,0
Ins 85,0,1,0,0,2,2,0,2
Ins 86,1,1,2,1,0,2,0,0
Ins 87,0,0,2,2,0,0,1,0
Ins 88,1,2,0,1,1,2,1,1
Ins 89,1,1,0,0,2,2,1,2
Ins 90,2,2,1,0,0,1,0,0
Ins 91,0,1,0,1,1,2,1,2
Ins 92,1,2,0,1,1,2,0,1
Ins 93,1,2,0,0,1,2,0,0
Ins 94,0,1,0,1,0,2,1,1
Ins 95,1,2,1,0,1,2,0,1
