,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm
Ins 96,0,1,1,1,0,1,0,0
Ins 97,0,0,0,0,0,0,0,1
Ins 98,0,0,1,1,0,1,1,0
Ins 99,0,0,0,1,1,0,0,1
Ins 100,0,1,0,0,1,1,0,1
Ins 101,0,0,0,1,0,1,1,1
Ins 102,1,1,0,0,1,1,0,0
Ins 103,0,0,0,1,0,1,0,0
Ins 104,1,1,0,0,1,1,0,0
Ins 105,0,0,0,0,1,1,0,1
Ins 106,0,0,0,0,1,1,0,1
Ins 107,0,0,0,1,0,1,0,0
Ins 108,0,0,1,1,0,1,0,1
Ins 109,0,1,0,0,0,1,0,0
Ins 110,0,1,0,0,1,1,1,1
Ins 111,0,0,0,0,0,1,0,0
Ins 112,0,1,1,1,0,1,0,0
Ins 113,0,0,1,1,0,1,0,0
Ins 114,0,0,1,1,0,0,0,0
Ins 115,0,1,0,0,0,1,0,1
Ins 116,1,0,1,1,0,0,0,0
Ins 117,1,0,0,1,1,0,0,0
Ins 118,0,0,2,2,0,1,0,0
Ins 119,0,0,0,0,0,1,0,0
Ins 120,0,1,0,0,0,1,0,0
Ins 121,0,0,0,0,0,1,0,1
Ins 122,0,0,1,1,0,1,1,1
Ins 123,0,0,2,2,0,0,1,0
Ins 124,0,0,1,1,0,0,0,0
Ins 125,1,0,0,0,0,0,0,0
Ins 126,0,0,1,1,0,0,0,0
Ins 127,1,0,0,0,0,0,0,0
