,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm
Ins 64,0,0,1,0,0,0,0,1
Ins 65,0,0,0,0,0,1,1,1
Ins 66,0,0,0,0,1,1,0,0
Ins 67,0,1,1,0,0,0,0,0
Ins 68,0,0,0,0,1,1,0,0
Ins 69,0,0,0,0,0,1,0,1
Ins 70,0,0,0,0,1,0,0,1
Ins 71,1,0,1,0,0,1,0,0
Ins 72,0,0,0,0,0,1,0,1
Ins 73,0,0,1,1,0,2,0,1
Ins 74,0,0,2,0,1,1,0,0
Ins 75,0,0,2,0,0,0,0,1
Ins 76,0,0,1,0,0,0,0,2
Ins 77,1,1,0,0,0,0,0,0
Ins 78,0,0,2,0,0,0,0,1
Ins 79,0,0,0,0,1,1,0,1
Ins 80,0,1,1,0,0,1,0,0
Ins 81,2,0,1,0,0,0,0,0
Ins 82,0,0,0,0,0,2,0,1
Ins 83,0,0,1,0,0,1,0,0
Ins 84,0,0,2,0,0,1,0,0
Ins 85,0,0,1,0,0,1,0,1
Ins 86,0,0,2,0,0,1,0,0
Ins 87,0,0,1,0,0,0,1,1
Ins 88,0,0,1,0,0,1,0,2
Ins 89,0,0,0,0,0,1,0,1
Ins 90,2,1,0,0,1,0,0,0
Ins 91,0,0,0,0,1,2,0,1
Ins 92,0,0,0,0,0,1,0,1
Ins 93,0,0,0,0,0,0,1,1
Ins 94,0,0,0,0,1,1,0,1
Ins 95,0,1,1,0,0,1,0,0
