,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm
Ins 0,0,1,0,0,2,2,1,1
Ins 1,1,1,0,0,1,1,2,2
Ins 2,0,1,0,0,1,2,0,2
Ins 3,0,2,1,0,1,2,0,0
Ins 4,0,0,1,1,0,1,0,1
Ins 5,0,1,1,0,2,1,0,1
Ins 6,0,1,2,1,0,1,0,0
Ins 7,0,1,1,0,1,2,0,1
Ins 8,0,1,2,0,2,0,0,1
Ins 9,0,0,1,0,1,1,0,1
Ins 10,0,0,2,1,0,1,0,1
Ins 11,0,0,1,0,0,2,0,1
Ins 12,0,0,2,0,1,2,0,1
Ins 13,0,2,0,0,0,2,0,1
Ins 14,1,1,0,0,0,1,0,1
Ins 15,0,0,0,1,1,1,1,1
Ins 16,1,2,2,0,0,2,0,1
Ins 17,0,2,1,0,1,2,1,1
Ins 18,2,2,2,0,1,1,0,0
Ins 19,2,2,2,0,1,2,0,1
Ins 20,0,2,1,0,1,2,0,0
Ins 21,2,2,2,0,1,2,0,0
Ins 22,1,0,2,0,2,1,0,0
Ins 23,2,1,1,0,1,2,0,0
Ins 24,1,0,0,1,1,1,0,2
Ins 25,0,1,1,0,1,2,0,1
Ins 26,0,0,0,1,0,1,2,2
Ins 27,1,1,0,2,2,1,0,0
Ins 28,0,0,1,0,1,2,0,1
Ins 29,2,1,0,0,2,1,0,0
Ins 30,2,2,0,0,1,1,0,0
Ins 31,2,1,0,1,0,0,0,0
