,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm
Ins 32,0,0,1,2,0,1,2,1
Ins 33,0,1,0,1,0,2,0,1
Ins 34,0,1,2,1,1,0,0,1
Ins 35,0,1,0,0,1,2,1,1
Ins 36,0,1,0,1,0,2,0,2
Ins 37,0,0,0,0,0,1,0,2
Ins 38,0,0,2,1,1,1,1,0
Ins 39,0,0,1,0,0,2,0,1
Ins 40,0,1,0,0,2,2,0,2
Ins 41,0,1,0,1,0,1,1,1
Ins 42,1,0,2,0,1,1,1,2
Ins 43,0,1,2,1,2,2,0,2
Ins 44,0,0,2,1,0,1,1,0
Ins 45,0,1,1,0,2,2,2,1
Ins 46,0,0,0,1,0,1,0,2
Ins 47,1,0,2,2,0,0,0,1
Ins 48,0,1,1,0,1,1,0,2
Ins 49,1,1,0,1,2,2,0,2
Ins 50,0,1,1,1,0,2,0,0
Ins 51,0,1,1,1,0,0,0,1
Ins 52,0,0,1,0,2,2,0,2
Ins 53,0,0,1,2,0,2,1,1
Ins 54,0,2,1,0,2,2,0,2
Ins 55,2,0,0,0,0,0,0,0
Ins 56,0,2,0,0,2,2,0,1
Ins 57,0,2,0,0,2,1,0,1
Ins 58,0,2,0,0,2,2,0,0
Ins 59,1,0,0,1,0,2,0,2
Ins 60,0,1,0,2,1,2,0,2
Ins 61,2,1,0,0,0,0,0,0
Ins 62,0,1,1,0,2,2,2,1
Ins 63,0,1,0,0,1,2,1,2
