,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm
Ins 32,0,0,0,1,1,0,1,1
Ins 33,0,0,0,1,1,0,1,2
Ins 34,0,0,0,2,1,0,1,1
Ins 35,0,0,0,0,2,1,1,1
Ins 36,0,0,2,1,1,2,1,1
Ins 37,0,0,0,1,1,0,1,1
Ins 38,0,1,1,2,1,1,1,0
Ins 39,1,1,2,1,0,2,0,0
Ins 40,0,1,2,0,2,1,1,1
Ins 41,1,1,1,0,2,1,0,1
Ins 42,0,0,0,0,2,0,1,1
Ins 43,1,0,0,0,1,0,1,0
Ins 44,2,1,2,1,1,1,1,0
Ins 45,0,0,0,1,1,1,1,0
Ins 46,0,0,0,1,1,0,2,1
Ins 47,0,0,0,0,1,1,1,1
Ins 48,1,0,0,1,0,1,1,0
Ins 49,0,1,0,0,1,2,1,1
Ins 50,1,1,1,1,1,1,1,0
Ins 51,1,0,1,1,1,2,2,1
Ins 52,1,0,1,1,0,0,0,1
Ins 53,0,0,0,1,1,2,1,2
Ins 54,0,1,0,0,1,1,2,0
Ins 55,2,2,1,0,0,1,0,0
Ins 56,1,2,2,0,1,1,0,0
Ins 57,1,0,1,1,1,0,1,1
Ins 58,0,0,0,1,1,0,1,1
Ins 59,0,1,0,0,2,1,1,1
Ins 60,0,1,1,0,1,2,1,1
Ins 61,2,2,1,0,1,1,1,0
Ins 62,1,0,1,2,0,2,1,0
Ins 63,0,0,2,0,2,2,0,1
