,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm
Ins 96,1,1,2,1,0,1,0,0
Ins 97,1,1,1,1,1,1,0,0
Ins 98,1,1,1,1,0,1,0,0
Ins 99,1,0,1,1,0,1,0,0
Ins 100,1,1,0,1,0,1,0,0
Ins 101,1,1,0,1,0,2,0,1
Ins 102,0,1,0,0,2,1,2,2
Ins 103,1,1,1,1,0,0,0,0
Ins 104,1,1,1,1,0,0,0,0
Ins 105,0,0,2,1,0,1,0,0
Ins 106,1,0,2,1,0,1,0,1
Ins 107,1,1,2,1,0,1,0,0
Ins 108,1,1,2,2,0,1,0,0
Ins 109,1,1,0,1,0,0,0,0
Ins 110,1,1,0,1,1,1,1,1
Ins 111,1,0,1,1,2,1,1,1
Ins 112,1,1,1,1,0,0,0,0
Ins 113,0,0,1,1,0,1,0,0
Ins 114,1,1,1,1,0,0,0,0
Ins 115,1,1,1,1,0,0,0,0
Ins 116,1,0,1,1,0,0,0,0
Ins 117,0,0,1,1,0,0,0,0
Ins 118,0,0,1,0,0,0,0,0
Ins 119,1,1,0,0,0,0,0,0
Ins 120,1,1,1,1,0,0,0,0
Ins 121,0,0,0,1,2,1,1,2
Ins 122,1,0,1,1,0,0,0,0
Ins 123,0,0,2,1,0,1,0,1
Ins 124,1,2,0,0,0,0,0,0
Ins 125,1,1,1,1,0,0,0,0
Ins 126,1,0,1,1,0,0,0,0
Ins 127,1,0,1,0,0,0,0,0
