,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm
Ins 64,0,1,1,1,1,2,2,2
Ins 65,0,0,2,2,1,2,2,1
Ins 66,2,2,1,0,1,2,0,1
Ins 67,2,1,1,1,1,2,1,1
Ins 68,1,2,0,0,1,1,0,2
Ins 69,1,1,0,0,2,1,1,1
Ins 70,2,2,0,0,2,2,1,1
Ins 71,1,2,2,0,2,2,1,2
Ins 72,1,1,1,0,2,2,1,2
Ins 73,0,1,1,1,1,2,0,1
Ins 74,0,1,0,0,1,2,1,2
Ins 75,2,2,1,0,1,1,0,0
Ins 76,0,0,1,2,1,2,2,1
Ins 77,2,2,1,0,2,2,2,2
Ins 78,0,2,1,0,1,2,2,1
Ins 79,1,0,1,1,2,2,2,1
Ins 80,2,1,1,0,0,2,1,0
Ins 81,2,2,1,0,1,0,0,0
Ins 82,0,1,0,1,1,2,2,2
Ins 83,2,2,2,1,2,1,1,1
Ins 84,1,2,1,0,1,2,0,0
Ins 85,1,2,0,0,1,2,0,2
Ins 86,1,2,2,1,1,2,1,0
Ins 87,1,2,0,0,1,2,0,1
Ins 88,1,2,1,0,0,2,1,0
Ins 89,1,1,0,0,2,2,2,1
Ins 90,2,2,1,0,1,2,0,1
Ins 91,1,2,1,0,1,2,1,2
Ins 92,1,2,2,1,1,2,1,2
Ins 93,1,1,1,0,1,2,2,1
Ins 94,2,2,1,0,1,2,1,1
Ins 95,1,2,2,1,1,2,1,2
