,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm
Ins 0,1,1,0,0,1,2,0,2
Ins 1,2,2,1,0,2,2,0,1
Ins 2,1,1,0,0,1,2,0,2
Ins 3,1,2,1,0,1,2,1,1
Ins 4,1,2,1,0,1,2,0,1
Ins 5,2,2,1,0,2,2,1,1
Ins 6,2,2,0,0,1,2,0,1
Ins 7,1,2,0,0,2,1,1,1
Ins 8,1,1,1,1,1,1,1,2
Ins 9,2,2,0,0,1,2,0,1
Ins 10,0,0,1,2,0,1,2,2
Ins 11,0,2,1,0,1,2,1,1
Ins 12,0,1,1,0,0,2,1,1
Ins 13,1,2,2,1,0,1,2,0
Ins 14,2,2,1,0,1,2,0,1
Ins 15,1,1,0,0,1,1,0,2
Ins 16,1,2,1,0,1,2,0,1
Ins 17,1,2,1,0,1,1,0,2
Ins 18,1,2,1,0,1,1,0,1
Ins 19,0,1,0,2,1,1,1,1
Ins 20,0,0,2,2,0,1,2,1
Ins 21,0,1,2,2,0,1,1,1
Ins 22,1,1,2,1,0,1,0,0
Ins 23,0,0,2,2,0,0,1,2
Ins 24,2,0,1,0,1,2,1,1
Ins 25,1,1,1,0,1,2,2,2
Ins 26,1,1,0,0,1,2,1,2
Ins 27,1,2,1,0,1,1,1,0
Ins 28,1,1,1,0,1,2,0,1
Ins 29,2,2,1,0,1,1,0,0
Ins 30,2,2,1,0,1,1,0,0
Ins 31,2,2,1,0,1,1,0,0
