,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm
Ins 0,0,0,1,0,0,0,2,0
Ins 1,1,1,0,0,2,0,0,1
Ins 2,0,0,0,0,0,0,0,0
Ins 3,0,1,1,0,2,0,0,1
Ins 4,1,0,0,0,0,0,0,0
Ins 5,1,1,0,0,2,1,0,0
Ins 6,1,2,0,0,0,0,0,0
Ins 7,1,2,0,0,0,1,0,0
Ins 8,0,0,0,1,0,1,0,0
Ins 9,0,0,1,2,0,0,0,0
Ins 10,0,0,2,1,0,0,0,0
Ins 11,0,0,1,1,0,1,2,0
Ins 12,0,0,2,2,0,0,0,0
Ins 13,0,0,0,2,0,0,1,1
Ins 14,2,0,0,0,0,1,0,0
Ins 15,1,2,0,0,2,0,0,0
Ins 16,0,1,1,0,1,0,0,0
Ins 17,0,0,2,1,0,1,0,0
Ins 18,2,2,0,0,0,0,0,1
Ins 19,0,0,2,1,1,0,1,0
Ins 20,0,0,0,0,1,0,0,0
Ins 21,0,0,0,1,0,1,2,0
Ins 22,0,0,0,0,0,1,0,0
Ins 23,0,0,2,0,0,1,0,0
Ins 24,0,0,0,0,0,0,1,0
Ins 25,0,0,0,0,0,0,0,1
Ins 26,0,0,0,0,1,1,0,2
Ins 27,0,1,0,0,1,0,0,2
Ins 28,0,1,0,0,0,0,1,0
Ins 29,2,1,0,0,0,0,0,0
Ins 30,1,2,0,0,1,0,0,0
Ins 31,2,2,0,0,1,0,0,0
