,Angry,Scary,Comic,Happy,Sad,Mysterious,Romantic,Calm
0,0.608,0.445,0.842,0.529,0.407,0.254,0.377,0.273
1,0.608,0.445,0.842,0.529,0.407,0.254,0.377,0.273
2,0.767,0.488,1.065,0.78,0.6,0.403,0.715,0.539
3,0.459,0.337,0.598,0.379,0.3,0.182,0.271,0.197
4,1.652,1.177,1.597,1.325,1.153,0.993,1.405,1.109
5,1.264,1.519,1.601,1.393,0.743,0.826,0.812,0.702
6,0.871,1.229,1.299,1.012,0.527,0.691,0.561,0.455
7,0.605,1.453,1.437,1.128,0.396,0.747,0.576,0.462
8,0.747,0.741,1.152,0.843,0.399,0.388,0.46,0.335
9,0.799,0.723,1.165,0.619,0.427,0.288,0.359,0.269
10,0.709,0.616,1.421,0.758,0.368,0.363,0.415,0.335
11,0.748,1.076,1.792,0.993,0.407,0.41,0.55,0.414
12,0.239,0.542,1.035,0.572,0.11,0.111,0.36,0.137
13,0.373,0.354,0.61,0.339,0.142,0.146,0.164,0.136
14,0.714,0.763,1.263,0.77,0.34,0.315,0.389,0.275
15,0.506,0.407,0.872,0.531,0.321,0.176,0.308,0.226
16,4.012,1.205,1.913,3.799,6.821,8.141,5.567,11.948
17,4.627,1.811,5.002,6.252,7.861,10.368,6.298,11.175
18,3.618,1.449,2.487,4.131,7.551,8.981,5.79,11.416
19,1.066,1.22,0.874,1.129,1.273,1.149,1.301,1.04
20,0.957,1.157,0.708,1.03,1.091,1.032,1.164,0.929
21,0.831,1.24,0.772,1.06,0.833,1.099,0.982,0.822
22,0.335,1.14,0.432,0.596,0.334,0.487,0.475,0.283
23,0.873,1.487,0.843,0.944,1.028,0.886,1.086,0.825
24,0.805,0.442,0.89,0.417,0.307,0.123,0.254,0.186
25,1.099,0.487,0.912,0.605,0.527,0.202,0.394,0.258
26,5.447,1.891,4.108,5.509,6.987,4.551,6.265,8.729
27,2.829,1.374,2.351,2.641,2.599,2.746,1.848,2.421
28,2.308,0.795,2.254,2.262,1.794,1.237,1.378,1.765
29,1.921,1.498,0.988,1.276,1.257,1.315,1.108,0.994
30,3.003,1.173,1.598,2.541,4.743,3.171,3.937,3.282
31,0.301,0.417,0.525,0.313,0.098,0.191,0.099,0.093
32,0.903,0.524,0.887,0.527,0.444,0.231,0.375,0.283
33,0.821,0.345,0.609,0.563,0.445,0.251,0.37,0.276
34,0.848,0.498,1.057,0.865,1.038,0.735,1.102,0.812
35,0.856,0.319,0.968,0.61,0.544,0.283,0.497,0.364
36,0.901,0.598,0.828,0.355,0.303,0.163,0.278,0.195
37,0.58,0.732,0.588,0.477,0.299,0.163,0.322,0.206
38,0.592,0.422,0.652,0.4,0.309,0.187,0.283,0.203
39,1.359,1.071,0.849,0.898,1.091,0.792,1.077,0.85
40,0.657,0.612,0.591,0.579,0.604,0.404,0.574,0.438
41,0.657,0.612,0.591,0.579,0.604,0.404,0.574,0.438
42,1.148,1.106,0.393,0.819,1.293,0.916,1.627,1.194
43,0.316,2.171,0.997,0.858,0.275,0.089,0.453,0.137
44,0.838,1.045,0.575,0.878,1.027,0.957,1.225,0.932
45,0.829,0.691,1.056,0.621,0.454,0.281,0.45,0.335
46,0.773,0.576,1.055,0.52,0.294,0.209,0.331,0.255
47,0.804,0.661,0.826,0.473,0.371,0.27,0.329,0.274
48,1.152,0.764,0.571,0.69,0.951,0.655,0.96,0.743
49,0.983,0.63,0.284,0.57,0.933,0.685,0.936,0.729
50,1.061,1.413,1.066,1.182,1.107,1.203,1.248,0.988
51,0.871,1.176,0.603,0.943,1.08,1.089,1.187,0.937
52,0.51,1.053,0.507,0.611,0.642,0.659,0.629,0.507
53,0.871,0.945,0.472,0.823,1.119,0.964,1.177,0.915
54,0.744,1.55,1.303,1.276,1.093,1.394,1.406,1.128
55,0.708,0.762,1.064,0.638,0.357,0.389,0.373,0.286
56,0.596,0.828,0.705,0.895,0.713,0.951,0.965,0.761
57,1.002,1.67,1.152,1.399,1.206,1.122,1.327,1.051
58,0.949,1.553,0.971,1.401,1.252,1.252,1.501,1.192
59,0.955,1.069,0.7,0.9,1.349,1.207,1.387,1.089
60,0.855,1.455,0.844,1.14,1.016,0.951,1.238,0.794
61,0.86,1.674,0.886,1.17,1.023,1.018,1.252,0.797
62,0.882,1.206,1.464,1.182,0.877,0.961,0.971,0.782
63,1.069,0.84,0.916,0.77,0.796,0.662,0.818,0.637
64,0.842,1.666,1.094,1.421,1.035,1.537,1.323,1.115
65,0.649,1.472,1.018,1.098,0.577,1.142,0.7,0.624
66,0.486,1.643,0.932,1.155,0.802,1.238,0.753,0.735
67,0.794,1.064,0.708,1.022,1.08,1.146,1.438,1.106
68,0.596,0.882,0.631,1.082,0.692,1.919,0.95,0.759
69,0.875,1.398,0.578,0.935,0.779,1.192,0.849,0.735
70,0.855,1.315,0.665,1.109,1.062,1.188,1.227,1.011
71,0.634,2.108,1.181,1.71,0.742,1.855,1.226,1.093
72,0.333,1.078,0.374,0.775,0.803,1.137,1.061,0.853
73,0.865,2.26,1.316,1.766,1.181,2.193,1.582,1.29
74,1.109,1.533,0.881,1.135,1.115,1.255,1.25,0.997
75,0.551,0.712,0.657,0.717,0.649,0.66,0.876,0.671
76,0.551,0.712,0.657,0.717,0.649,0.66,0.876,0.671
77,0.755,2.445,1.374,1.842,2.504,2.252,1.773,2.108
78,0.653,1.406,1.017,1.108,0.94,1.167,1.113,0.905
79,0.778,1.167,0.856,1.018,0.891,1.029,1.031,0.827
80,2.006,2.461,1.9,1.993,1.594,1.91,1.908,1.532
81,1.428,1.727,1.37,1.497,1.452,1.426,1.519,1.219
82,1.219,1.973,1.339,1.577,1.441,1.71,1.651,1.23
83,1.325,1.305,1.133,1.203,1.298,1.162,1.212,0.969
84,0.819,0.855,0.9,0.831,0.543,0.569,0.638,0.498
85,1.606,1.173,0.912,1.117,1.176,1.011,1.16,0.936
86,1.243,1.365,1.027,1.168,1.188,1.122,1.246,0.966
87,1.039,1.366,1.084,1.258,1.213,0.9,1.231,0.995
88,0.888,1.015,0.829,0.909,1.025,0.63,1.076,0.812
89,0.671,0.47,0.273,0.503,0.925,0.595,0.907,0.698
90,1.375,1.457,1.305,1.156,1.096,1.138,1.102,0.883
91,1.59,1.57,1.952,1.458,1.277,1.219,1.33,1.054
92,0.372,0.954,0.319,0.22,0.103,0.537,0.075,0.117
93,0.575,0.634,0.419,0.541,0.771,0.911,0.942,0.793
94,0.513,0.684,0.368,0.472,0.68,0.659,0.685,0.543
95,0.736,0.838,0.877,0.746,0.769,0.871,0.922,0.747
96,1.194,0.51,0.808,0.527,0.806,0.374,0.607,0.456
97,1.118,1.135,1.163,1.058,1.131,0.636,1.052,0.769
98,0.99,0.677,0.93,0.669,1.414,0.825,1.265,0.994
99,2.973,1.542,2.91,2.112,1.752,1.237,1.834,1.396
100,0.531,0.789,0.553,0.584,0.7,0.702,0.721,0.581
101,0.826,0.92,0.775,0.847,0.88,0.764,0.829,0.668
102,0.889,0.562,0.383,0.384,1.041,0.745,1.081,0.82
103,0.459,1.077,0.679,0.872,0.662,0.846,0.857,0.712
104,0.774,0.393,0.798,0.429,0.367,0.151,0.349,0.251
105,0.438,0.407,0.745,0.415,0.193,0.176,0.281,0.211
106,0.402,0.323,0.432,0.224,0.103,0.085,0.106,0.086
107,0.363,0.406,0.833,0.402,0.191,0.17,0.248,0.179
108,0.733,0.496,0.583,0.314,0.258,0.117,0.22,0.166
109,0.814,1.141,1.077,1.23,1.231,1.148,1.399,1.093
110,0.657,0.612,0.591,0.579,0.604,0.404,0.574,0.438
111,1.097,1.215,1.101,1.263,1.204,1.13,1.213,0.976
112,0.451,0.381,0.526,0.167,0.109,0.027,0.071,0.051
113,0.35,0.315,0.157,0.059,0.087,0.021,0.051,0.041
114,0.816,0.575,1.041,0.634,0.49,0.307,0.394,0.344
115,0.37,0.374,0.166,0.059,0.085,0.018,0.049,0.039
116,1.039,0.866,1.333,0.629,0.359,0.238,0.415,0.264
117,0.508,0.393,0.502,0.236,0.204,0.102,0.19,0.131
118,0.924,1.056,1.512,1.108,0.542,0.598,0.634,0.493
119,0.86,1.032,0.049,0.522,0.547,0.732,0.58,0.599
120,0.59,0.654,0.57,0.319,0.139,0.204,0.143,0.122
121,0.431,0.516,0.438,0.505,0.31,0.339,0.36,0.281
122,1.56,1.346,0.773,1.002,0.753,0.951,0.753,0.766
123,0.628,0.567,0.647,0.595,0.427,0.369,0.444,0.344
124,0.451,0.381,0.526,0.167,0.109,0.027,0.071,0.051
125,0.394,0.478,0.424,0.244,0.661,0.876,0.696,0.723
126,0.747,0.953,1.161,0.477,0.943,1.221,0.966,1.003
127,2.245,1.525,2.591,1.494,0.586,0.795,0.629,0.633
